Pos,ID,Name,Link,Year,Author,Notes,Source,Type,Logo,R1 points,R1 Total,R1 Diff,R1 %,R1 Pos,R1 EnID,R1 En,R1 Grp,R1 Rep,R2 points,R2 total,R2 Diff,R2 %,R2 Pos,R2 Sup,R2 EnId,R2 En,R2 Grp,R3 points,R3 total,R3 Diff,R3 %,R3 Pos,R3 Sup,R3 EnId,R3 En,R3 Time,R3 Grp,R4 points,R4 total,R4 Diff,R4 %,R4 Pos,R4 Sup,R4 EnId,R4 En,R4 Time,R4 Grp
1,35,Közmondás mémek,https://at.tumblr.com/tumbliveleje/ok%C3%A9-a-magyar-kozmondas-memek-a-legjobb-dolog-ma-a/adwmohp0mo5l,2019,alleskapot,2727,Tumblr,thread,🙈,69,100,38,69.00%,1,36,We love Budapest cikk,D,,53,90,16,58.89%,1,0,58,Seggszombat,A,81,164,-2,49.39%,1,1,37,Kossuth utcák,2023-03-27 18:00:00,D,,,0,0.00%,1,,3,Zoli a pók,2023-03-29 16:00:00,
2,3,Zoli a pók,https://www.tumblr.com/tumbliveleje/187979332854/van-egy-p%C3%B3kom-a-zoli?source=share&_branch_match_id=link-1160216660532004543,2015,hyperdunno,21355,Tumblr,text,🕷️,155,186,124,83.33%,1,4,Pörköltzabáló nyanya,A,,128,149,107,85.91%,1,1,56,Mosogatógép,A,100,130,70,76.92%,2,0,29,Mozambik,2023-03-24 18:00:00,A,,,0,0.00%,2,,35,Közmondás mémek,2023-03-29 16:00:00,
3,79,Skóciában mászni,https://www.tumblr.com/girlkoris/180652969701/ha-barki-skociaban-kirandul-vagy-maszik,2018,deadmanride,272,Tumblr,text,⛰️,34,67,1,50.75%,1,80,Rákos lettem a threadtől,H,,101,219,-17,46.12%,2,7,16,Kiszel Tünde naptár,P,66,169,-37,39.05%,2,4,66,Belekakkantottak,2023-03-24 22:00:00,S,,,0,0.00%,1,,37,Kossuth utcák,2023-03-29 20:00:00,
4,37,Kossuth utcák,https://at.tumblr.com/tumbliveleje/az-irrelev%C3%A1ns-k%C3%A9rd%C3%A9s-amire-megpr%C3%B3b%C3%A1ln%C3%A1m-keresni-a/564vr6vmkqhh,2019,sztivan/sztupy,950,Tumblr,text,🛣️,78,99,57,78.79%,1,38,Covid vers,C,,96,159,33,60.38%,1,2,61,Te gepárd,A,83,164,2,50.61%,2,8,35,Közmondás mémek,2023-03-27 18:00:00,A,,,0,0.00%,2,,79,Skóciában mászni,2023-03-29 20:00:00,
5,90,Esküvő,https://new-low.tumblr.com/post/161739292389,2017,new-low,1410,Tumblr,comic,👰,54,79,29,68.35%,2,89,Tonhalképű cimbalmosbuzi,F,,133,250,16,53.20%,2,2,7,Úgy megbasztuk beszart,A,89,174,4,51.15%,2,2,23,Vágod faszim biztos nem,2023-03-25 16:00:00,A,,,0,0.00%,1,,1,Cingi a gekkó,2023-03-30 16:00:00,
6,1,Cingi a gekkó,https://www.tumblr.com/tumbliveleje/187979313354/az-a-j%C3%B3-tekn%C5%91s%C3%B6kben-hogy-ny%C3%A1ron-elvan-a-kertben?source=share&_branch_match_id=link-1160216426888299853,2015,eyszakaibusz/deadmanride,2569,Tumblr,text,🦎,123,177,69,69.49%,1,2,Rókafarok,A,,113,175,51,64.57%,1,4,8,Favágás,A,183,363,3,50.41%,2,20,11,Faszfütyürű,2023-03-26 16:00:00,A,,,0,0.00%,2,,90,Esküvő,2023-03-30 16:00:00,
7,21,IT kábelezés,https://www.tumblr.com/tumbliveleje/188039535594/cser%C3%A9lik-n%C3%A1lunk-az-utp-k%C3%A1beleket?source=share&_branch_match_id=link-1160323397813536306,2017,ordogugyvedje,1625,Tumblr,text,🔌,92,133,51,69.17%,1,22,Biztos retrothread,B,,86,105,67,81.90%,1,0,19,Barilla a csomagtartóban,A,104,149,59,69.80%,1,1,5,Húsleves,2023-03-24 20:00:00,A,,,0,0.00%,1,,47,90-es évek vidék,2023-03-30 20:00:00,
8,47,90-es évek vidék,https://at.tumblr.com/tumbliveleje/ez-vel%C5%91-nem-k%C3%A9rd%C3%A9s/by32kcrnr2o9,2021,tenykozleseim,273,Tumblr,thread,👚,78,109,47,71.56%,1,48,Balekosz,C,,43,69,17,62.32%,1,0,50,Országszlogen,A,54,99,9,54.55%,2,1,45,Hülyenévthread,2023-03-25 20:00:00,A,,,0,0.00%,2,,21,IT kábelezés,2023-03-30 20:00:00,
9,71,Dinoszaurusz,https://www.tumblr.com/azazelm0rdant/89780380959/fi%C3%BAk-n%C3%A9ha-jobb-ha-nem-%C3%ADrtok,2014,mzsmckok,702,Tumblr,text,🦕,74,78,70,94.87%,1,72,Pénzkutya,C,,106,121,91,87.60%,1,0,53,Konditermi típusok,A,47,83,11,56.63%,2,0,87,Kakithread,2023-03-27 16:00:00,A,,,0,0.00%,1,,28,Lovas színház,2023-03-31 16:00:00,
10,28,Lovas színház,https://www.tumblr.com/tumbliveleje/189287146149/lovas-sz%C3%ADnh%C3%A1z-besz%C3%A1mol%C3%B3-ig%C3%A9nyes-video-kontenttel?source=share&_branch_match_id=link-1160322249098528554,2018,ciganyolga,705,Tumblr,text,🎠,90,154,26,58.44%,2,27,Normális polgári lány,B,,64,107,21,59.81%,1,1,82,Kurwa Union,A,60,118,2,50.85%,1,0,16,Kiszel Tünde naptár,2023-03-24 18:00:00,A,,,0,0.00%,2,,71,Dinoszaurusz,2023-03-31 16:00:00,
